timestamp,open,high,low,close,volume
2018-07-11 15:30:00,7.1000,7.1000,7.1000,7.1000,100
2018-07-11 15:29:00,6.9950,6.9950,6.9650,6.9800,1700
2018-07-11 15:28:00,6.9791,6.9791,6.9748,6.9748,1100
2018-07-11 12:09:00,7.1248,7.1248,7.1248,7.1248,178
2018-07-10 16:00:00,6.9500,6.9500,6.9500,6.9500,255
2018-07-10 15:36:00,7.1000,7.1000,7.1000,7.1000,100
2018-07-10 13:59:00,7.1355,7.1355,7.1355,7.1355,1000
2018-07-10 12:35:00,6.9830,6.9830,6.9830,6.9830,1000
2018-07-10 12:06:00,6.9990,6.9990,6.9938,6.9938,2000
2018-07-10 11:35:00,7.0000,7.0000,7.0000,7.0000,101
2018-07-10 10:01:00,6.9999,6.9999,6.9999,6.9999,1000
2018-07-10 09:30:00,7.0000,7.0000,7.0000,7.0000,143
2018-07-09 15:57:00,6.9968,7.0500,6.9968,7.0025,1200
2018-07-09 15:49:00,7.0000,7.0000,7.0000,7.0000,425
2018-07-09 15:33:00,7.0500,7.0500,7.0500,7.0500,100
2018-07-09 15:08:00,7.0000,7.0000,7.0000,7.0000,1467
2018-07-09 10:33:00,7.0116,7.0116,7.0116,7.0116,160
2018-07-09 10:04:00,7.1490,7.1490,7.1490,7.1490,100
2018-07-06 16:00:00,7.1000,7.1000,7.1000,7.1000,100
2018-07-06 14:44:00,7.0000,7.0000,7.0000,7.0000,828
2018-07-06 13:39:00,7.0000,7.0502,7.0000,7.0502,400
2018-07-06 10:20:00,7.0000,7.0001,7.0000,7.0001,3798
2018-07-05 12:05:00,7.0021,7.0021,7.0021,7.0021,100
2018-07-03 10:00:00,7.2000,7.3485,7.2000,7.2001,2200
2018-07-03 09:59:00,7.2216,7.2216,7.2216,7.2216,600
2018-07-03 09:34:00,7.0010,7.0010,7.0010,7.0010,1000
2018-07-02 13:57:00,7.0499,7.0500,7.0100,7.0415,1786
2018-07-02 13:56:00,7.0500,7.0500,7.0415,7.0415,400
2018-07-02 09:44:00,7.0000,7.0000,7.0000,7.0000,302
2018-07-02 09:34:00,7.0853,7.0853,7.0010,7.0010,807
2018-07-02 09:33:00,7.1000,7.1000,7.1000,7.1000,100
2018-06-29 16:00:00,7.1000,7.1000,7.1000,7.1000,152
2018-06-29 15:59:00,7.1000,7.1000,7.1000,7.1000,100
2018-06-29 15:20:00,7.0001,7.0001,7.0001,7.0001,2000
2018-06-29 15:04:00,7.0950,7.0950,7.0950,7.0950,400
2018-06-29 14:05:00,7.1660,7.1660,7.1660,7.1660,100
2018-06-29 13:01:00,7.0650,7.0650,7.0620,7.0650,900
2018-06-29 13:00:00,7.0500,7.0500,7.0500,7.0500,100
2018-06-29 12:54:00,7.0500,7.0500,7.0500,7.0500,200
2018-06-29 12:50:00,7.0000,7.0500,7.0000,7.0500,200
2018-06-29 11:06:00,7.0999,7.0999,7.0999,7.0999,1000
2018-06-29 10:00:00,7.1000,7.1000,7.1000,7.1000,300
2018-06-29 09:32:00,7.2000,7.2000,7.2000,7.2000,300
2018-06-29 09:30:00,7.0500,7.0500,7.0500,7.0500,1505
2018-06-28 14:50:00,7.2027,7.2027,7.2027,7.2027,400
2018-06-27 15:59:00,7.4000,7.4000,7.4000,7.4000,100
2018-06-27 15:52:00,7.3000,7.3000,7.3000,7.3000,100
2018-06-27 11:57:00,7.2500,7.2584,7.2500,7.2584,2000
2018-06-27 11:55:00,7.3000,7.3400,7.3000,7.3000,2200
2018-06-27 11:50:00,7.3000,7.3000,7.3000,7.3000,499
2018-06-27 10:18:00,7.4980,7.4980,7.4980,7.4980,100
2018-06-27 10:17:00,7.4854,7.4854,7.4854,7.4854,200
2018-06-27 10:16:00,7.3990,7.3990,7.3928,7.3928,300
2018-06-27 10:10:00,7.3601,7.3601,7.3601,7.3601,200
2018-06-27 10:09:00,7.3990,7.3990,7.3990,7.3990,200
2018-06-27 09:30:00,7.5500,7.5500,7.5500,7.5500,203
